year,month,day,certainty,place,coordinates,type,
1592,3,28,,Nivnice,"48.97465, 17.64757",S,
1592,6,,Approximate,Uherský Brod,"49.02513, 17.64715",L,
1604,,,,Strážnice,"48.90102, 17.3168",L,
1605,5,5,,Nivnice,"48.97465, 17.64757",L,
1608,1,,Approximate,Přerov,"49.4564788, 17.45023",L,
1611,3,30,,Herborn,"50.6784088, 8.2997096",L,
1613,5,,Approximate,Marburg,"50.80904, 8.77069",S,
1613,6,,Approximate,Amsterdam,"52.3702157, 4.895167900000001",S,
1613,6,19,,Heidelberg,"49.3987524, 8.6724335",L,
1614,4,,Approximate,Prague,"50.08804, 14.42076",S,
1614,6,,,Přerov,"49.4564788, 17.45023",L,
1616,4,26,,Žeravice,"49.02288, 17.23726",S,
1616,5,,Approximate,Přerov,"49.4564788, 17.45023",L,
1618,,,Approximate,Fulnek,"49.7123742, 17.9032009",L,
1621,3,,Approximate,North Moravia,"49.5, 17.0",L,
1623,1,,Approximate,Brandýs nad Orlicí,"50.00194, 16.28528",L,
1625,4,,,Görlitz,"51.15518, 14.98853",S,
1625,5,,,Berlin,"52.52000659999999, 13.404954",S,added month
1625,6,,,Szprotawa,"51.56563, 15.53664",S,added month
1625,7,,Approximate,Brandýs nad Orlicí,"50.00194, 16.28528",L,added month
1625,8,,,Kunštát,"49.50645, 16.51722",S,added month
1625,9,,,Leszno,"51.8419861, 16.5937545",S,added month
1626,3,,,Brandýs nad Orlicí,"50.00194, 16.28528",L,
1626,3,,Approximate,Amsterdam,"52.3702157, 4.895167900000001",S,
1626,5,,Approximate,Berlin,"52.52000659999999, 13.404954",S,
1626,6,,Approximate,Bílá Třemešná,"50.44465, 15.74101",L,
1626,6,,Approximate,Moravia,"49.5, 17.0",S,
1626,12,,Approximate,Szprotawa,"51.56563, 15.53664",S,
1626,12,,Approximate,The Hague,"52.0704978, 4.3006999",S,
1627,6,,,Bílá Třemešná,"50.44465, 15.74101",L,
1627,11,12,Approximate,Horní Branná,"50.60826, 15.57146",S,
1627,12,,Approximate,Vlčice,"50.56259, 15.82158",S,added month
1628,1,,,Bílá Třemešná,"50.44465, 15.74101",L,
1628,2,8,,Leszno,"51.8419861, 16.5937545",L,
1634,6,,,Włodawa,"51.55178, 23.55434",S,
1634,10,,Approximate,Toruń,"53.0137902, 18.5984437",S,
1634,11,,Approximate,Leszno,"51.8419861, 16.5937545",L,
1641,8,,Approximate,Gdańsk,"54.35202520000001, 18.6466384",S,
1641,9,21,,London,"51.508515, -0.1254872",L,
1642,6,5,,Amsterdam,"52.3702157, 4.895167900000001",S,added day
1642,6,15,Approximate,The Hague,"52.0704978, 4.3006999",S,added day
1642,6,25,,Leiden,"52.1551395, 4.4879355",S,added day
1642,7,19,,Amsterdam,"52.3702157, 4.895167900000001",S,
1642,7,,,Bremen,"53.07929619999999, 8.8016937",S,
1642,7,,,Hamburg,"53.5510846, 9.9936818",S,
1642,7,,,Lübeck,"53.86893, 10.68729",S,
1642,8,19,,Norrköping,"58.587745, 16.192421",S,
1642,8,29,,Finspång,"58.70578, 15.76739",S,
1642,9,,Approximate,Örebro,"59.27412, 15.2066",S,
1642,9,10,,Norrköping,"58.587745, 16.192421",S,
1642,9,14,,Stockholm,"59.36757249999999, 18.1365057",S,
1642,9,21,,Norrköping,"58.587745, 16.192421",S,
1642,10,13,,Barösund,"58.18333, 16.89972",S,
1642,10,16,,Gdańsk,"54.35202520000001, 18.6466384",S,
1642,11,21,,Elbing,"54.1560613, 19.4044897",L,
1643,4,20,,Gdańsk,"54.35202520000001, 18.6466384",S,
1643,5,20,,Elbing,"54.1560613, 19.4044897",L,
1643,6,28,,Gdańsk,"54.35202520000001, 18.6466384",S,
1643,7,,,Elbing,"54.1560613, 19.4044897",L,
1643,7,,,Leszno,"51.8419861, 16.5937545",S,
1643,7,,,Elbing,"54.1560613, 19.4044897",L,
1643,8,,Approximate,Malbork,"54.03591, 19.0266",S,
1643,8,,Approximate,Elbing,"54.1560613, 19.4044897",L,
1644,8,22,,Lüneburg,"53.2464214, 10.4115179",S,
1644,9,24,,Orla,"52.70546, 23.33213",S,
1644,9,28,,Elbing,"54.1560613, 19.4044897",L,
1645,4,26,,Leszno,"51.8419861, 16.5937545",S,
1645,5,22,,Toruń,"53.0137902, 18.5984437",S,
1645,5,25,,Elbing,"54.1560613, 19.4044897",L,
1645,8,28,Approximate,Toruń,"53.0137902, 18.5984437",S,
1645,9,26,,Elbing,"54.1560613, 19.4044897",L,
1646,8,,,Hornhausen (by Oschersleben),"52.0451, 11.17104",S,
1646,8,21,,Gdańsk,"54.35202520000001, 18.6466384",S,
1646,8,22,,Lübeck,"53.86893, 10.68729",S,
1646,9,1,,Lüneburg,"53.2464214, 10.4115179",S,
1646,9,,Inferred,Sweden,"60.12816100000001, 18.643501",S,
1646,11,30,Approximate,Elbing,"54.1560613, 19.4044897",L,
1648,8,24,,Leszno,"51.8419861, 16.5937545",L,
1649,5,17,,Toruń,"53.0137902, 18.5984437",S,
1649,5,19,Approximate,Leszno,"51.8419861, 16.5937545",L,
1650,4,16,,Skalica,"48.8460561, 17.2278639",S,
1650,4,20,,Púchov,"49.1249356, 18.3301705",S,added day
1650,5,1,,Lednica,"49.1166667, 18.2166667",S,added day
1650,5,4,,Trnava,"48.3774, 17.58723",S,added day
1650,5,8,,Prešov,"48.99839, 21.23393",S,added day
1650,5,10,,Tokaj,"48.11667, 21.41667",S,
1650,5,13,Approximate,Sárospatak,"48.3196929, 21.5687308",S,
1650,6,10,,Leszno,"51.8419861, 16.5937545",L,
1650,10,5,,Tokaj,"48.11667, 21.41667",S,added day
1650,10,12,,Sárospatak,"48.3196929, 21.5687308",L,added day
1654,6,20,,Lednica,"49.1166667, 18.2166667",S,
1654,6,22,,Púchov,"49.1249356, 18.3301705",S,
1654,6,28,,Brieg,"50.8608509, 17.4668311",S,
1654,6,30,,Leszno,"51.8419861, 16.5937545",L,
1655,8,1,,Poznań,"52.406374, 16.9251681",L,
1655,8,5,Approximate,Leszno,"51.8419861, 16.5937545",L,
1656,4,30,,Silesia,"50.5716595, 19.3219768",S,
1656,6,,,Krossen,"51.9198, 13.59764",S,
1656,6,,,Frankfurt (Oder),"52.342491, 14.53813",S,
1656,6,24,,Szczecin,"53.4285438, 14.5528116",S,
1656,7,,,Hamburg,"53.5510846, 9.9936818",S,
1656,8,,,Emden,"53.36745, 7.20778",S,
1656,8,14,,Groningen,"53.2193835, 6.566501799999999",S,
1656,8,14,,Utrecht,"52.09179, 5.114569899999999",S,
1656,8,26,,Amsterdam,"52.3702157, 4.895167900000001",L,
1667,7,,,Breda,"51.58656, 4.77596",S,
1667,8,,,Amsterdam,"52.3702157, 4.895167900000001",L,
1670,11,15,,Amsterdam,"52.3702157, 4.895167900000001",L,
