year,month,day,creator,cityFrom,coordinatesFrom,regionFrom,countryFrom,addressees,cityTo,coordinatesTo,regionTo,countryTo,destination,flags,language,peopleMentioned
1628,9,4,"Andreae, Johann Valentin",Calw,"48.71419, 8.74031",Baden-Württemberg,,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Destination INFERRED.,Latin,
1629,9,24,Unity of Brethren,Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Lithuania, Seniors and superintendents of (fl. 1629)",Vilnius,"54.68916, 25.2798",Vilnius County,Lithuania,,Destination INFERRED. Destination UNCERTAIN.,Latin,"Leszczyński, Rafał ~ Morlinus, Joachim ~ Cyrillus, Johannes (fl. 1629-34) ~ Erastus, Jiří ~ Cornu, Václav ~ Procopius, Matthias (fl. 1629-34) ~ Pauli, Jiří (fl. 1629-1630) ~ Hermon, Johannes ~ CCCCCC ~ Laurentius, Johannes (fl. 1629-40) ~ Lochar, Václav ~ Jacobides, Andreas (fl. 1629) ~ Claudianus, Joannes (fl. 1629) ~ Tychikus, Daniel ~ Lipena, Václav (fl. 1629) ~ Krokočínský, Matouš Theodor ~ Carion, Václav (fl.1629) ~ Fines, Jan ~ Sylvanus, Joannes (fl. 1629) ~ Libánský, Jan ~ Erhardus, Petrus (fl. 1629) ~ Onyáš, Václav (fl. 1629) ~ Laubmann, Jan ~ Přemysl, Martin ~ Tiessicius, Sigismundus (fl. 1629) ~ Parvus, Jiřík ~ Stadius, Johannes ~ Onezýn, Šimon ~ Srammius, Laurentius (fl. 1629) ~ Figulus, Jan ~ Situs, Václav (fl. 1629)~ Chrysostomus, Joannes (fl. 1629) ~ Nigrin, Václav (fl. 1629) ~ Voytus, Joannes (fl. 1629) ~Laurin, Jiří ~ Concordius, Paulus (fl. 1629) ~ Levínský, Daniel (fl. 1629)"
1629,11,30,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,,Czech,"Wallenstein, Albrecht Wenzel Eusebius von ~ Tilly, Johann Tserclaes Count of"
1629,12,1,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Destination INFERRED.,Czech,"Kmochan Brandejský, Šimon (fl. 1629) ~ Žerotín, Ladislav Velen of ~ Žerotín, Jan of ~ Gustavus Adolphus, King of Sweden ~ Arnim-Boitzenburg, Hans Georg von"
1629,12,23,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Destination INFERRED.,,"Justinus, Laurentius ~ Hermon, Johannes ~ Krokočínský, Matouš Theodor"
1629,12,31,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Destination INFERRED.,Czech,"Tiefenbach, Zikmund of"
1629,9,15,"Andreae, Johann Valentin",Calw,"48.71419, 8.74031",Baden-Württemberg,,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Stadius, Johannes ~ Jonston, Johannes ~ Ursinus, David"
1630,6,27,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Mentzel, Abraham",Zittau,"50.89772, 14.80764",Saxony,Germany,,Origin INFERRED. ~ Destination INFERRED.,Latin,
1630,10,20,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Evenius, Sigismund",Magdeburg,"52.12773, 11.62916",(Upper Saxon Imperial Circle) Saxony-Anhalt,Germany,,Date of work UNCERTAIN. Date of work APPROXIMATE. (Date of work as marked: [1630?] 10 20 [after]) ~ Origin INFERRED. Origin UNCERTAIN. ~ Destination INFERRED.,Latin,"Glaum, Philipp ~ Evenius, Sigismund ~ Frey, Jean Cecil ~ Ernst, Bartholomaeus (fl. 1630) ~ Holstein, Gabriel (fl. 1630-37)"
1630,1,16,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Destination INFERRED.,Czech,"Leszczyński, Bogusław ~ Leszczyński, Andrzej ~ Leszczyński, Rafał ~ Leszczyński, Władysław ~ Hermon, Johannes ~ Krokočínský, Matouš Theodor ~ Bruntálský z Vrbna, Karel ~ Cyrillus, Johannes (fl. 1629-34) ~Laurin, Jiří ~ Krato z Hranic, Martin (fl. 1630) ~ Žerotín, Ladislav Velen of ~ Žerotín, Jan of ~ Žerotín, Karel of"
1630,1,18,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Destination INFERRED.,Czech,"Rej of Nagłowic, Andrzej ~ Suatosius, John (fl. 1639-60)"
1631,10,11,"Cyrillus, Johannes (fl. 1629-34) ~ Procopius, Matthias (fl. 1629-34) ~ Hermon, Johannes, fl. 1629-1633 ~ CCCCCC ~ Lochar, Václav ~ Stadius, Johannes ~ Cardus, Wenceslaus (fl. 1631)",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,Dutch Church in London (fl. 1631-34),London,"51.50853, -0.12574",England,,,Addressee INFERRED.,Latin,
1631,10,11,"Cyrillus, Johannes (fl. 1629-34) ~ Procopius, Matthias (fl. 1629-34) ~ Hermon, Johannes, fl. 1629-1633 ~ CCCCCC ~ Lochar, Václav",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Rivet, André",Leiden,"52.15833, 4.49306",South Holland,Netherlands,,,Latin,"Vetter, Daniel ~ Cyrillus, Johannes (fl. 1629-34) ~ Procopius, Matthias (fl. 1629-34) ~ Hermon, Johannes ~ CCCCCC ~ Lochar, Václav"
1632,9,22,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Moser, Martin",Złotoryja,"51.12637, 15.91979",Lower Silesian Voivodeship,Poland,,Origin INFERRED. Origin UNCERTAIN.,"Ancient Greek (words), Latin","Moser, Martin ~ Ratke, Wolfgang ~ Benzius, Johannes ~ Pasor, Georg"
1632,10,11,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Anchoranus, Johannes",London,"51.50853, -0.12574",England,,,,Latin,
1632,9,11,"Winkler, Georg (fl. 1632)",Złotoryja,"51.12637, 15.91979",Lower Silesian Voivodeship,Poland,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Helwig, Christoph ~ Jung, Joachim ~ Ratke, Wolfgang ~ Moser, Martin"
1632,11,3,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hünefeld, Andreas",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,,Latin,"Hünefeld, Andreas"
1632,11,3,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hünefeld, Andreas",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,,German,"Mochinger, Johann ~ Niclassius, Wojciech"
1632,11,3,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Mochinger, Johann",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,,Latin,"Hünefeld, Andreas"
1633,5,5,"CCCCCC ~ Erastus, Jiří ~ Procopius, Matthias (fl. 1629-34) ~ Fabricius, Paulus ~ Hermon, Johannes, fl. 1629-1633 ~ Lochar, Václav ~ Laurentius, Johannes (fl. 1629-40) ~ Cephas, Petrus (fl. 1633)",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Breitinger, Johann Jakob",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,,,Latin,"Abdon, Jan"
1633,5,5,"Erastus, Jiří ~ Procopius, Matthias (fl. 1629-34) ~ CCCCCC ~ Hermon, Johannes, fl. 1629-1633 ~ Lochar, Václav ~ Laurentius, Johannes (fl. 1629-40) ~ Cephas, Petrus (fl. 1633) ~ Serrurier, Philipp (fl. 1633) ~ Fabricius, Paulus",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Dutch Church in London, Ministers of the (fl. 1633)",London,"51.50853, -0.12574",England,,,Addressee INFERRED. (Addressee as marked: Consistorium Londino-Belgicum) ~ Destination INFERRED.,Latin,"Serrurier, Philipp (fl. 1633)"
