year,month,day,creators,cityFrom,coordinatesFrom,regionFrom,coutryFrom,addressees,cityTo,coordinatesTo,regionTo,countryTo,problems
1652,6,5,"Komenský, Jan Amos and Brethren",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,"Rákoczi, György, advisors to (fl. 1652)",Alba Iulia,"46.06667, 23.58333",Judeţul Alba,(Principality of Transylvania) Romania,
1653,5,2,"Komenský, Jan Amos and Brethren",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,"Bisterfeld, Johann Heinrich",Alba Iulia,"46.06667, 23.58333",Judeţul Alba,(Principality of Transylvania) Romania,
1653,5,20,"Komenský, Jan Amos and Brethren",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,"Bisterfeld, Johann Heinrich",Alba Iulia,"46.06667, 23.58333",Judeţul Alba,(Principality of Transylvania) Romania,
1633,,,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Alsted, Johann Heinrich",Alba Iulia,"46.06667, 23.58333",Transylvania,Hungary,
1650,6,14,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Rákóczi, György II",Alba Iulia,"46.06667, 23.58333",Judeţul Alba,(Principality of Transylvania) Romania,
1657,9,2,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Rákóczi, György II",Alba Iulia,"46.06667, 23.58333",Judeţul Alba,(Principality of Transylvania) Romania,
1643,,,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Bisterfeld, Johann Heinrich",Alba Iulia,"46.06667, 23.58333",Judeţul Alba,(Principality of Transylvania) Romania,
1663,4,17,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Nigrin, Kristián Vladislav",Geneva,"46.20222, 6.14569",Genève,(Swiss Confederation) Switzerland,
1633,5,5,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Breitinger, Johann Jakob",Zurich,"47.36667, 8.55",Zurich Canton,Switzerland,
1657,3,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Ulrich, Johann Jacob",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,
1657,7,9,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Ulrich, Johann Jacob",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,
1658,3,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Stucki, Hans Rudolph",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,
1666,6,1,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,
1666,6,1,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Ulrich, Johann Jacob",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,
1669,7,21,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Ott, Johann Heinrich",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,
1633,4,13,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Zwinger, Theodor",Basel,"47.5584, 7.57327",Basel-Stadt Canton,Switzerland,
1633,5,5,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Basel Reformed Church, leaders of (fl. 1633)",Basel,"47.5584, 7.57327",Basel-Stadt Canton,Switzerland,
1658,1,18,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Schaum, Constantine",Makovice,"48.12597, 22.79418",Chetfalva,Zakarpatia,
1663,4,9,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Věžník of Věžník, Adam Ladislav",Vienna,"48.20849, 16.37208",Wien,(Austrian Imperial Circle) Austria,
1651,12,3,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,"Komenský, Jan Amos",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1651,12,28,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,"Komenský, Jan Amos",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1650,9,2,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Tolnai, János",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1651,11,13,"Felín, Jan",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Komenský, Jan Amos",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1651,11,13,"Figulus, Petr",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Komenský, Jan Amos",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1655,5,24,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Klobusiczky, Andreas",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1655,7,22,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Klobusiczky, Andreas",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1655,8,4,"Komenský, Jan Amos and Brethren",Poznań,"52.40692, 16.92993",Greater Poland Voivodeship,Poland,"Klobusiczky, Andreas",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1652,1,22,"Hevelius, Johannes",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,"Komenský, Jan Amos",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,
1656,9,1,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hesenthaler, Magnus",Stuttgart,"48.78232, 9.17702",Baden-Württemberg,(Swabian Imperial Circle) Germany,
1644,8,22,"Komenský, Jan Amos and Brethren",Lüneburg,"53.25, 10.4",(Lower Saxon Imperial Circle) Lower Saxony,Germany,"Andreae, Johann Valentin",Stuttgart,"48.78232, 9.17702",Baden-Württemberg,(Swabian Imperial Circle) Germany,
1648,6,27,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Andreae, Johann Valentin",Stuttgart,"48.78232, 9.17702",Baden-Württemberg,(Swabian Imperial Circle) Germany,
1649,2,11,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Securius, Petr (fl. 1649)",Skalica,"48.8449, 17.22635",Trnavský,(Upper Hungary) Slovakia,
1649,2,11,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Chodníček, Jan",Skalica,"48.8449, 17.22635",Trnavský,(Upper Hungary) Slovakia,
1640,1,2,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Mersenne, Marin",Paris,"48.85341, 2.3488",Île-de-France,France,
1658,5,30,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drellincourt, Charles",Paris,"48.85341, 2.3488",Île-de-France,France,
1666,4,15,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",Paris,"48.85341, 2.3488",Île-de-France,France,
1666,4,19,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",Paris,"48.85341, 2.3488",Île-de-France,France,
1666,5,12,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Cominges, Gaston Jean Baptiste, comte de",Paris,"48.85341, 2.3488",Île-de-France,France,
1666,5,13,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",Paris,"48.85341, 2.3488",Île-de-France,France,
1668,9,19,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Nigrin, Kristián Vladislav",Paris,"48.85341, 2.3488",Île-de-France,France,
